Sector,Stock,Date,CNN,LSTM,Hybrid,Transformer
IT,TECHM,13-11-2025,1419.1099853515625,1457.8299560546875,1417.2099609375,1182.02001953125
IT,WIPRO,07-11-2025,238.58999633789062,242.02000427246094,241.5800018310547,213.97000122070312
IT,WIPRO,10-11-2025,240.13999938964844,241.25,238.9499969482422,214.0500030517578
IT,WIPRO,11-11-2025,239.02000427246094,241.3699951171875,239.85000610351562,214.1999969482422
IT,WIPRO,12-11-2025,240.67999267578125,240.92999267578125,241.50999450683594,214.33999633789062
IT,WIPRO,13-11-2025,241.24000549316406,241.4199981689453,239.75999450683594,214.49000549316406
Media,NAZARA,07-11-2025,265.70001220703125,264.70001220703125,264.6000061035156,179.19000244140625
Media,NAZARA,10-11-2025,266.510009765625,259.92999267578125,261.45001220703125,179.27999877929688
Media,NAZARA,11-11-2025,265.3999938964844,264.5799865722656,261.0899963378906,179.3699951171875
Media,NAZARA,12-11-2025,263.69000244140625,264.0400085449219,260.29998779296875,179.4600067138672
Media,NAZARA,13-11-2025,260.79998779296875,261.2900085449219,261.5799865722656,179.52999877929688
Media,PVRINOX,07-11-2025,1226.219970703125,1222.43994140625,1229.31005859375,1123.56005859375
Media,PVRINOX,10-11-2025,1214.3900146484375,1223.3699951171875,1238.3599853515625,1123.4599609375
Media,PVRINOX,11-11-2025,1216.6700439453125,1208.4300537109375,1247.06005859375,1123.3599853515625
Media,PVRINOX,12-11-2025,1211.469970703125,1223.75,1227.5,1123.31005859375
Media,PVRINOX,13-11-2025,1222.239990234375,1227.3199462890625,1243.280029296875,1123.2900390625
Media,SAREGAMA,07-11-2025,450.8500061035156,465.6099853515625,460.8500061035156,397.8599853515625
Media,SAREGAMA,10-11-2025,455.42999267578125,462.6400146484375,472.7099914550781,398.1000061035156
Media,SAREGAMA,11-11-2025,455.05999755859375,462.25,455.5400085449219,398.3399963378906
Media,SAREGAMA,12-11-2025,456.54998779296875,463.1700134277344,485.2900085449219,398.5799865722656
Media,SAREGAMA,13-11-2025,458.739990234375,461.1499938964844,465.3900146484375,398.760009765625
Media,SUNTV,07-11-2025,568.6099853515625,562.3599853515625,561.7999877929688,565.5900268554688
Media,SUNTV,10-11-2025,567.1300048828125,559.6099853515625,561.8099975585938,565.8900146484375
Media,SUNTV,11-11-2025,568.8699951171875,560.6400146484375,563.0900268554688,566.2000122070312
Media,SUNTV,12-11-2025,566.8800048828125,568.5499877929688,567.2000122070312,566.489990234375
Media,SUNTV,13-11-2025,567.5499877929688,560.6799926757812,561.9400024414062,566.8300170898438
Media,ZEEL,07-11-2025,103.7300033569336,103.86000061035156,105.51000213623047,109.58000183105469
Media,ZEEL,10-11-2025,105.12000274658203,102.9800033569336,107.05000305175781,109.62000274658203
Media,ZEEL,11-11-2025,105.69000244140625,104.70999908447266,106.13999938964844,109.61000061035156
Media,ZEEL,12-11-2025,106.94999694824219,101.5,106.73999786376953,109.58999633789062
Media,ZEEL,13-11-2025,108.31999969482422,104.79000091552734,107.6500015258789,109.58999633789062
Metal,ADANIENT,07-11-2025,2405.4599609375,2405.97998046875,2455.300048828125,2311.590087890625
Metal,ADANIENT,10-11-2025,2443.85009765625,2435.780029296875,2468.22998046875,2311.080078125
Metal,ADANIENT,11-11-2025,2420.300048828125,2417.5400390625,2434.02001953125,2310.3701171875
Metal,ADANIENT,12-11-2025,2440.1298828125,2431.469970703125,2428.85009765625,2309.530029296875
Metal,ADANIENT,13-11-2025,2425.840087890625,2414.639892578125,2415.010009765625,2308.699951171875
Metal,HINDALCO,07-11-2025,828.3300170898438,764.8499755859375,789.75,514.6099853515625
Metal,HINDALCO,10-11-2025,815.4400024414062,753.5,792.8499755859375,514.7100219726562
Metal,HINDALCO,11-11-2025,815.5999755859375,758.4299926757812,781.52001953125,514.8599853515625
Metal,HINDALCO,12-11-2025,820.3599853515625,768.489990234375,785.219970703125,514.9400024414062
